1. Gender,2. Age group,3. Highest level of education,4. Your job category,5. Primary employment status,6. Total years of work experience in the IT industry,7. Type of software project that you have completed,8. Project's application domain,9. Project's type of software production,10. Project's software and product,"11. Project's size (Baseline)
Note: Effort is measured in person months calculated from working days ",12. Project's staff involved in software development (software staff),13. Software staff was sufficient to complete the project on-time,14. Overall Staff of the project,15. Overall staff was sufficient to complete the project on-time,16. Project's average staff experience ,17. Project's average staff were qualified ,18. Project had a Project Manager?,19. Project's Project Manager had experience?,"20.  Re-use process/assets introduced in the project 
Note: Re-use assets such as domain analysis, qualifications, systematic practices and models",21. Project's re-use assets underwent a defined quality procedure to be declared as reusable,"22. Project recieved Top Management support/commitment
Note: Support/commitment includes regular communication with Project Manager/team, providing resources and funds, introducing business plan, requirements, schedule, standards and rules to satisfy","23. Domain Analysis was performed before project initiation
Note: Domain Analysis includes capturing clear understanding of the domain, identification of re-use models, objectives/goals",24. Potential risks identified at an early stage of the project ,25.  Risk management performed in the project,26. Project used Project Management tools/methodologies from past experience?,"27. Adequate communication carried out in the project 
Note: Regular communication/feedbacks between team members, Project Manager and top management",28. Project used a repository to store assets,29. Time-line was monitored throughout the project,30. Performance was monitored throughout the project,31. Budget was monitored throughout the project,32. Risks were monitored throughout the project,33. Project’s changes over time were monitored throughout the project,34. Project’s quality was monitored throughout the project,35. Project's resources were monitored throughout the project,36. Sufficient budget was allocated for the project,"37. Human factors were considered 
Note: Addressed via measures such as training, awareness, motivation actions",38. Project was completed on-time,39.  Project was completed on the agreed budget,40. Requirements met by the end of the project and customer satisfaction granted," By clicking the ‘Submit’ button below, you are consenting to participate in this study, as it is described in the participant information sheet, which you can download here: https://drive.google.com/drive/u/0/folders/1mC9jC7S6VxZ3O6EpasHjC4YEbonNgBFm. If you did not yet download and keep a copy of this document for your records, we recommend you do that now  "
Female,25 - 35,Master's Degree or higher,Database Administration,Full-time,4 - 7 years,Technical,Other,"Product - family (project that change over time, and/or more or less specific for each client)",Product (software is embedded in a product),Medium (10 – 100 person months),Small (1-50),Yes,Small (1-50),Yes,Middle (2 - 5 years),Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,,,Yes,Yes,No,Yes,Yes,Yes,
Female,25 - 35,Master's Degree or higher,Software Quality Assuarance,Full-time,4 - 7 years,Business,Education ,"Product - family (project that change over time, and/or more or less specific for each client)",Product (software is embedded in a product),Extra Large (above 500 person months),Small (1-50),Yes,Small (1-50),Yes,High (above 5 years),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Male,25 - 35,Bachelor's Degree,Software Development,Full-time,4 - 7 years,Business,Financial,"Product - family (project that change over time, and/or more or less specific for each client)",Product (software is embedded in a product),Medium (10 – 100 person months),Small (1-50),Yes,Medium (51-200),Yes,Middle (2 - 5 years),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Female,25 - 35,Postgraduate Diploma,Software Development,Full-time,4 - 7 years,Technical,Software Tools,"Product - family (project that change over time, and/or more or less specific for each client)",Product (software is embedded in a product),Medium (10 – 100 person months),Small (1-50),No,Small (1-50),Yes,Middle (2 - 5 years),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Male,25 - 35,Bachelor's Degree,Software Development,Full-time,4 - 7 years,Business,Telecommunication,"Product - family (project that change over time, and/or more or less specific for each client)",Process (software is embedded in a process),Medium (10 – 100 person months),Small (1-50),Yes,Small (1-50),Yes,Middle (2 - 5 years),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Male,Under 25,Diploma/Certification Cources,Software Development,Full-time,1 - 3 years,Technical,Financial,"Product - family (project that change over time, and/or more or less specific for each client)",Product (software is embedded in a product),Small (below 10 person months),Small (1-50),Yes,Small (1-50),Yes,Middle (2 - 5 years),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Male,Under 25,Bachelor's Degree,UI/UX Design,Full-time,1 - 3 years,Business,Financial,"Product - family (project that change over time, and/or more or less specific for each client)",Product (software is embedded in a product),Small (below 10 person months),Small (1-50),Yes,Small (1-50),No,Low (1 or less than a year),Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,
Male,25 - 35,Bachelor's Degree,Software Development,Full-time,4 - 7 years,Business,Telecommunication,"Product - family (project that change over time, and/or more or less specific for each client)",Alone (software is a standalone product),Medium (10 – 100 person months),Medium (51-200),Yes,Small (1-50),Yes,Middle (2 - 5 years),Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,
Female,25 - 35,Master's Degree or higher,Business Analysis/Consultancy,Full-time,4 - 7 years,Technical,Telecommunication,"Product - family (project that change over time, and/or more or less specific for each client)",Product (software is embedded in a product),Medium (10 – 100 person months),Small (1-50),Yes,Small (1-50),Yes,Middle (2 - 5 years),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Male,25 - 35,Bachelor's Degree,Software Quality Assuarance,Full-time,8 - 10 years,Business,Telecommunication,Isolated (project that share nearly nothing in common with other projects),Alone (software is a standalone product),Medium (10 – 100 person months),Small (1-50),Yes,Small (1-50),Yes,Low (1 or less than a year),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
